"sim","loss"
715,8978579.264
716,14173540.725
717,3203113.661
718,347070
719,20501677.433
720,74254969.735
721,4662612.826
722,0
723,14816429.891
724,23098206.635
725,41126330.414
726,0
727,15098926.334
728,3190710.88
729,11172726.98
730,16517605.081
731,544962.693
732,298397.451
733,20926335.177
734,13039114.751
735,6239110.993
736,5658335
737,5398211.768
738,13463486.362
739,5444754
740,6444318.594
741,13157629.362
742,9202917.468
743,1894437
744,519313
745,3408404
746,0
747,46519217.229
748,22259169.611
749,594346.588
750,10951569.732
751,22077971.839
752,6397075.517
753,1850418.712
754,15781151.328
755,0
756,45354023.742
757,14023699.739
758,5958212.852
759,5218572.768
760,7472227.132
761,65457379.878
762,9259986.362
763,31288145.052
764,9647417.826
765,0
766,13605574.193
767,30846266.269
768,29230723.807
769,1354387.58
770,458622.451
771,10178419.826
772,9340519.138
773,23713094.696
774,1173174.552
775,16100232.012
776,19188497.768
777,7857319.8
778,12022705.675
779,21854192.648
780,17361219.944
781,0
782,1683115
783,5517430.348
784,13984907.672
785,2007777.088
786,0
787,12567368.237
788,6210229.768
789,9571000.519
790,20130112.297
791,1612443.213
792,29764389.127
793,807000
794,20273153.625
795,11216524.865
796,11745830.691
797,26242145.071
798,16458056.262
799,1854476.58
800,15216026.94
801,1514612.58
802,13061709.153
803,1894437
804,13381096.463
805,6474981.378
806,885211
807,5223659.378
808,29966198.905
809,12114671.53
810,19226252.397
811,48586214.1
812,13418409.494
813,3412155.768
814,6924633.966
815,4282843.996
816,2241507
817,26517566.098
818,2192047.248
819,0
820,18240690.227
821,11437926.203
822,3316782
823,39559134.156
824,0
825,3885701.451
826,12724369.66
827,13726888.435
828,2592103.551
829,37463703.83
830,1514612.58
831,80282824.142
832,12206543.942
833,8059275.3
834,23279202.693
835,5106407.348
836,0
837,6342698.126
838,5364009.126
839,9060064.99
840,3984631.331
841,13280770.082
842,13345473.334
843,24780648.492
844,9444898.174
845,21421103.961
846,1646192
847,11550757.088
848,11492987.136
849,17526278.025
850,10511072.942
851,10563779.62
852,8170176.826
853,7231499.14
854,14080418.866
855,47186126.223
856,211322
857,57338534.785
858,11763219.203
859,2116788
860,43498657.617
861,7988847.435
862,8385992
863,14462334.949
864,58163368.465
865,3634801.782
866,3895752.826
867,2009278
868,1683115
869,15855383.194
870,12372417.398
871,16947953.299
872,30132020.242
873,63322963.461
874,11152869.616
875,18911140.069
876,17317308.431
877,23866594.832
878,638261.451
879,1683115
880,71821462.548
881,298397.451
882,3179005.3
883,13316298.015
884,6025572.768
885,13295894.232
886,39915635.761
887,8904253.614
888,3253541.9
889,8700479.513
890,37382314.783
891,2450482
892,593635.242
893,298397.451
894,21526929.597
895,1779884.588
896,16357963.562
897,1354387.58
898,8598146.212
899,13921107.287
900,12541493.846
901,27252139.559
902,0
903,25011987.435
904,1843340
905,6497383.406
906,807000
907,1097957
908,16899267.303
909,6446793.715
910,3146927.307
911,25190779.403
912,27912270.478
913,5487838.029
914,6627780
915,21961231.905
916,15997220.497
917,1601899.229
918,31758526.791
919,23329476.743
920,6607721.314
921,35647761.988
922,7735361.608
923,598689
924,11916518.497
925,42372804.686
926,51438611.312
927,7509459.435
928,7921841.155
929,24200380.034
930,16650709.339
931,3477889.116
932,686934
933,11022061.578
934,4701895.3
935,10080362.642
936,9759491.592
937,31044747.527
938,7333006.126
939,583500
940,15140858.749
941,22277145.035
942,24057167.784
943,13464235.141
944,54574832.335
945,0
946,969828.678
947,1927558.536
948,11565264.435
949,12157069.629
950,9934241.564
951,0
952,1819452.5
953,19427639.244
954,3193926.116
955,16775381.708
956,8090510.594
957,24619942.983
958,2211843.74
959,1326313
960,295893.424
961,11785777.32
962,3160804.58
963,444222.24
964,27137173.779
965,1036769
966,16431169.632
967,22562895.343
968,8098903.3
969,44466130.255
970,807000
971,6664614.062
972,5729760.3
973,12595107.484
974,2279051.58
975,26121367.457
976,9069475.951
977,6924839.552
978,18063930.647
979,48974681.158
980,23413469.929
981,23363415.69
982,6764942.987
983,23631379.81
984,5962698.126
985,31798410.247
986,10059367.848
987,33857202.693
988,874284.765
989,14371024.3
990,9160919.359
991,687890.288
992,7418552.868
993,5591768.435
994,6227129.843
995,500089
996,6324750.062
997,1683115
998,18684351.29
999,3067821.3
1000,11784707.929
1001,18924898.047
1002,3631751.24
1003,1646192
1004,5597210.406
1005,1795593.248
1006,2764296.858
1007,197945
1008,8656498.829
1009,23593726.154
1010,4975630
1011,47648954.246
1012,4242814.808
1013,0
1014,27794874.638
1015,5808255
1016,15125764.465
1017,0
1018,6673778.663
1019,6422216.47
1020,12726281.689
1021,29727057.55
1022,3561269.359
1023,16931299.777
1024,20782890.549
1025,24775304.489
1026,4037943.619
1027,13921036.605
1028,17816777.78
1029,13700595.486
1030,11126121.888
1031,33062377.093
1032,12834761.939
1033,750887
1034,11469291.826
1035,10914410.29
1036,16695867.579
1037,6536072.062
1038,0
1039,9701387.826
1040,211322
1041,5877650.435
1042,18945924.069
1043,3340443.58
1044,8662054.435
1045,0
1046,50035212.883
1047,12248444.545
1048,0
1049,1646192
1050,6434181.3
1051,33584313.211
1052,9925084.865
1053,4982189.003
1054,18932227.761
1055,19801838.704
1056,7817082.126
1057,10618401.203
1058,16476698.21
1059,51909142.468
1060,6834469.513
1061,750887
1062,8872303.427
1063,5882503
1064,19061046.019
1065,13785507.993
1066,11999352.435
1067,0
1068,14949292.555
1069,30023563.131
1070,1161987.451
1071,15745185.276
1072,25782520.931
1073,42204894.487
1074,14020233.556
1075,44636122.992
1076,2397079
1077,0
1078,35854861.887
1079,0
1080,64557077.243
1081,20306002.399
1082,13180909.67
1083,16569042.981
1084,2754344
1085,5169732.649
1086,14165164.015
1087,8569905.874
1088,863590
1089,0
1090,6433214.175
1091,10080514.665
1092,4944665
1093,15051788.835
1094,211322
1095,21616149.081
1096,11986191.27
1097,2355702.976
1098,11506185.675
1099,10030236.929
1100,10225842.642
1101,3412155.768
1102,19689280.565
1103,2111012.552
1104,11427982.694
1105,8664544.552
1106,0
1107,8248811.614
1108,4050417.219
1109,21891394.275
1110,14103283.421
1111,8295161.735
1112,21529852.264
1113,509719.451
1114,24815384.656
1115,14518325.727
1116,7047124.126
